network_config,strategy,strategy_params,neg_pos_ratio,pred_threshold,evidence_ratio,occ_thr,edge_thr,weight_thr,total_samples,positive_samples,negative_samples,negative_candidates_count,evaluated_days,skipped_days,tp,fp,tn,fn,precision,recall,f1_score,accuracy
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.1,0.2,2,1,0.2,260,130,130,37,29,24,120,43,87,10,0.7361963190184049,0.9230769230769231,0.8191126279863482,0.7961538461538461
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.1,0.3,2,1,0.2,242,121,121,37,29,24,116,55,66,5,0.6783625730994152,0.9586776859504132,0.7945205479452054,0.7520661157024794
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.1,0.5,2,1,0.2,180,90,90,37,29,24,88,51,39,2,0.6330935251798561,0.9777777777777777,0.7685589519650655,0.7055555555555556
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.1,0.7,2,1,0.2,126,63,63,37,29,24,63,32,31,0,0.6631578947368421,1.0,0.7974683544303798,0.746031746031746
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.2,0.2,2,1,0.2,260,130,130,37,29,24,71,18,112,59,0.797752808988764,0.5461538461538461,0.6484018264840182,0.7038461538461539
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.2,0.3,2,1,0.2,242,121,121,37,29,24,77,30,91,44,0.719626168224299,0.6363636363636364,0.6754385964912281,0.6942148760330579
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.2,0.5,2,1,0.2,180,90,90,37,29,24,69,43,47,21,0.6160714285714286,0.7666666666666667,0.6831683168316831,0.6444444444444445
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.2,0.7,2,1,0.2,126,63,63,37,29,24,51,29,34,12,0.6375,0.8095238095238095,0.7132867132867132,0.6746031746031746
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.3,0.2,2,1,0.2,260,130,130,37,29,24,43,10,120,87,0.8113207547169812,0.33076923076923076,0.4699453551912569,0.6269230769230769
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.3,0.3,2,1,0.2,242,121,121,37,29,24,57,24,97,64,0.7037037037037037,0.47107438016528924,0.5643564356435643,0.6363636363636364
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.3,0.5,2,1,0.2,180,90,90,37,29,24,57,32,58,33,0.6404494382022472,0.6333333333333333,0.6368715083798883,0.6388888888888888
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.3,0.7,2,1,0.2,126,63,63,37,29,24,42,24,39,21,0.6363636363636364,0.6666666666666666,0.6511627906976744,0.6428571428571429
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.4,0.2,2,1,0.2,260,130,130,37,29,24,23,5,125,107,0.8214285714285714,0.17692307692307693,0.2911392405063291,0.5692307692307692
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.4,0.3,2,1,0.2,242,121,121,37,29,24,30,13,108,91,0.6976744186046512,0.24793388429752067,0.36585365853658536,0.5702479338842975
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.4,0.5,2,1,0.2,180,90,90,37,29,24,48,25,65,42,0.6575342465753424,0.5333333333333333,0.588957055214724,0.6277777777777778
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.4,0.7,2,1,0.2,126,63,63,37,29,24,34,20,43,29,0.6296296296296297,0.5396825396825397,0.5811965811965812,0.6111111111111112
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.5,0.2,2,1,0.2,260,130,130,37,29,24,8,3,127,122,0.7272727272727273,0.06153846153846154,0.11347517730496455,0.5192307692307693
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.5,0.3,2,1,0.2,242,121,121,37,29,24,15,8,113,106,0.6521739130434783,0.12396694214876033,0.20833333333333334,0.5289256198347108
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.5,0.5,2,1,0.2,180,90,90,37,29,24,26,17,73,64,0.6046511627906976,0.28888888888888886,0.39097744360902253,0.55
